age,tenure_months,monthly_charges,total_usage_hours,support_calls,payment_delays,contract_type,internet_service,payment_method,churn
41,60,110.33,96.58,2,1,Monthly,Basic,Bank Transfer,0
18,45,89.22,132.01,9,3,Yearly,Standard,Bank Transfer,0
61,3,78.35,269.88,4,0,Monthly,Basic,Debit Card,0
25,37,30.97,288.72,2,0,Monthly,Premium,Debit Card,0
41,43,71.92,133.79,8,5,Monthly,Premium,Credit Card,1
28,40,138.32,225.26,7,3,Monthly,Premium,Bank Transfer,1
68,55,125.04,159.97,2,5,Yearly,Standard,Credit Card,1
34,39,48.09,161.8,8,4,Yearly,Standard,Debit Card,0
25,15,80.66,84.15,5,0,Yearly,Basic,UPI,0
52,4,126.17,65.87,6,0,Yearly,Basic,UPI,0
52,25,28.76,87.11,3,3,Yearly,Basic,UPI,0
50,13,70.36,167.34,3,0,Monthly,Premium,Debit Card,0
22,33,130.74,9.72,11,4,Monthly,Premium,Credit Card,0
59,16,72.51,272.27,1,4,Two-Year,Premium,Bank Transfer,0
56,42,30.09,47.73,4,4,Monthly,Premium,Debit Card,0
58,66,90.53,66.81,7,1,Yearly,Basic,UPI,1
45,55,132.03,,6,4,Monthly,Standard,Credit Card,0
24,42,96.74,213.32,6,4,Yearly,Standard,,0
26,34,49.42,29.62,5,1,Yearly,Premium,Bank Transfer,0
25,30,69.95,95.99,2,5,Monthly,Standard,Debit Card,0
29,13,78.52,290.63,4,2,Monthly,Standard,Debit Card,0
51,13,95.3,,0,0,Yearly,Standard,Bank Transfer,1
50,18,118.72,94.6,6,4,Monthly,Premium,Bank Transfer,1
65,32,32.85,251.11,8,0,Monthly,Basic,UPI,1
40,39,135.65,16.01,0,3,Yearly,Basic,Bank Transfer,0
41,46,21.6,139.92,1,0,Monthly,Standard,Debit Card,0
54,29,68.11,114.51,2,5,Two-Year,Basic,Credit Card,1
52,62,23.56,95.66,2,1,Monthly,Basic,UPI,1
61,62,71.09,86.42,7,0,Monthly,Premium,UPI,0
57,57,88.36,28.32,6,0,Yearly,Premium,Bank Transfer,1
39,16,86.52,95.13,5,0,Monthly,Standard,Credit Card,1
44,56,41.53,13.87,9,2,Monthly,Standard,UPI,0
52,10,103.95,234.51,9,2,Monthly,Standard,Debit Card,1
18,30,25.82,120.07,10,3,Monthly,Premium,Bank Transfer,1
52,25,119.05,133.73,3,1,Monthly,Basic,Debit Card,0
54,5,143.06,268.18,8,0,Monthly,Premium,Bank Transfer,0
64,65,64.17,197.76,0,0,Monthly,Premium,,0
31,49,87.24,3.41,10,0,Monthly,Basic,Bank Transfer,0
20,3,69.26,283.01,1,0,Yearly,Basic,Credit Card,1
18,45,20.87,71.91,3,2,Yearly,Standard,Debit Card,0
22,14,70.16,33.18,2,5,Monthly,Basic,Credit Card,1
43,30,,230.67,0,5,Yearly,Basic,Debit Card,0
31,68,97.48,150.64,4,3,Yearly,Basic,Debit Card,0
56,18,33.16,130.7,6,4,Yearly,Basic,Bank Transfer,0
44,62,130.13,75.6,1,1,Yearly,Standard,UPI,0
26,37,89.04,164.69,4,5,Monthly,Standard,UPI,0
32,25,129.42,83.04,5,0,Two-Year,Basic,Credit Card,1
32,48,95.43,270.57,10,5,Monthly,Basic,Bank Transfer,1
43,65,92.76,65.35,6,3,Monthly,Standard,UPI,1
59,53,33.68,265.42,0,4,Yearly,Standard,Debit Card,1
30,15,41.76,168.26,6,5,Monthly,Basic,Debit Card,0
68,49,146.36,248.72,3,3,Monthly,Premium,Bank Transfer,1
49,68,49.7,214.14,7,2,Yearly,Standard,Credit Card,0
56,12,147.07,209.31,3,4,Yearly,Standard,Bank Transfer,1
66,59,89.15,97.98,5,3,Yearly,Standard,Credit Card,1
69,37,37.65,70.94,8,5,Yearly,Basic,Bank Transfer,1
49,61,32.91,64.05,4,2,Monthly,Basic,Debit Card,0
21,43,47.15,257.3,11,3,Monthly,Standard,Bank Transfer,1
47,70,140.33,246.31,3,3,Yearly,Basic,UPI,0
54,39,73.84,132.73,7,5,Monthly,Basic,UPI,1
40,56,71.41,40.59,8,4,Yearly,Standard,Bank Transfer,0
56,63,60.72,115.29,3,2,Monthly,Basic,Credit Card,0
62,46,39.12,186.18,2,0,Monthly,Premium,Credit Card,0
32,11,83.42,136.87,7,1,Monthly,Basic,Debit Card,0
60,62,36.91,234.28,4,4,Yearly,Basic,Debit Card,0
46,25,128.61,299.29,1,2,Monthly,Standard,Credit Card,1
53,71,68.15,,9,3,Monthly,Standard,Bank Transfer,1
30,52,68.72,138.44,8,2,Monthly,Premium,Debit Card,1
49,4,81.62,129.86,2,1,Monthly,Basic,Credit Card,0
24,59,77.74,92.04,11,5,Monthly,Premium,Credit Card,0
68,72,149.33,60.23,1,1,Monthly,Premium,Bank Transfer,1
39,20,90.9,20.64,0,0,Monthly,Standard,UPI,1
45,63,31.47,266.25,7,0,Monthly,Basic,Credit Card,1
19,54,98.89,126.53,10,1,Monthly,Standard,Debit Card,0
59,57,39.71,149.57,2,4,Yearly,Premium,Bank Transfer,0
62,41,24.02,275.17,6,4,Two-Year,Premium,Bank Transfer,0
23,3,146.2,233.11,0,3,Monthly,Standard,Bank Transfer,0
45,6,120.56,40.02,0,0,Monthly,Standard,UPI,1
45,5,147.41,170.06,11,3,Monthly,Standard,UPI,1
61,5,82.12,133.23,8,0,Yearly,Standard,Debit Card,1
61,54,89.19,239.37,11,1,Monthly,Standard,Debit Card,1
37,47,41.88,217.55,7,4,Monthly,Premium,Bank Transfer,0
47,49,52.1,207.43,11,4,Yearly,Standard,Debit Card,0
28,9,129.01,102.82,2,1,Monthly,Basic,Credit Card,0
45,20,66.3,,5,3,Yearly,Premium,UPI,1
42,61,127.49,16.66,10,3,Monthly,Premium,Bank Transfer,1
56,35,112.17,48.73,2,2,Yearly,Basic,Bank Transfer,1
50,50,43.03,101.35,11,0,Monthly,Basic,Credit Card,0
18,62,85.97,23.97,3,3,Two-Year,Premium,,0
44,17,108.06,71.26,0,1,Yearly,Standard,Credit Card,1
69,3,50.55,,4,3,Monthly,Premium,Credit Card,0
30,32,127.99,284.53,0,4,Monthly,Premium,Bank Transfer,0
58,13,90.83,92.08,0,0,Monthly,Basic,UPI,0
20,68,41.48,80.09,9,5,Yearly,Premium,UPI,0
56,14,95.79,,10,2,Yearly,Standard,Credit Card,1
23,11,149.96,84.04,10,0,Monthly,Basic,Debit Card,0
25,56,39.57,11.74,6,4,Two-Year,Premium,Bank Transfer,0
44,67,126.18,278.15,11,4,Monthly,Premium,UPI,0
26,29,46.95,,5,4,Monthly,Standard,Credit Card,1
54,9,121.71,126.58,1,4,Two-Year,Premium,Debit Card,1
50,67,115.5,3.9,10,1,Yearly,Premium,Debit Card,1
68,25,59.06,,11,2,Monthly,Premium,Credit Card,1
59,42,62.36,219.62,1,5,Yearly,Premium,Bank Transfer,0
61,9,123.03,284.08,10,4,Two-Year,Standard,UPI,0
41,40,79.99,234.7,6,4,Yearly,Premium,Debit Card,1
32,25,115.01,94.8,0,3,Yearly,Premium,,1
49,5,39.24,,1,2,Yearly,Premium,UPI,1
49,11,130.83,209.62,11,0,Monthly,Basic,Debit Card,1
41,59,112.42,109.87,7,2,Yearly,Standard,Credit Card,1
58,38,137.9,170.3,5,2,Monthly,Basic,,1
69,72,37.21,2.87,1,5,Two-Year,Basic,Debit Card,0
66,5,97.09,19.5,6,2,Monthly,Standard,Bank Transfer,1
66,48,97.89,161.08,3,5,Yearly,Basic,UPI,1
69,18,65.95,170.26,1,4,Monthly,Basic,Credit Card,0
29,70,79.6,225.68,11,4,Monthly,Basic,UPI,1
56,37,24.94,40.46,5,1,Monthly,Standard,Debit Card,0
19,60,116.96,154.44,10,5,Two-Year,Premium,,0
20,48,91.41,59.14,8,5,Two-Year,Standard,Credit Card,0
66,28,27.51,28.87,10,0,Monthly,Standard,Credit Card,1
54,69,108.5,123.74,8,3,Two-Year,Standard,Credit Card,1
66,40,80.68,49.84,7,2,Yearly,Basic,Bank Transfer,0
34,45,24.48,67.31,2,0,Yearly,Premium,Credit Card,0
66,62,146.05,95.95,2,5,Monthly,Standard,Debit Card,1
19,58,143.38,78.56,1,0,Two-Year,Standard,Bank Transfer,1
19,67,86.68,27.19,4,1,Yearly,Premium,Debit Card,1
45,56,32.18,27.88,11,3,Two-Year,Premium,Debit Card,1
40,40,118.1,58.78,3,5,Yearly,Premium,UPI,0
54,40,83.95,16.12,6,5,Yearly,Basic,Credit Card,1
49,33,59.32,188.31,3,2,Yearly,Premium,Credit Card,1
50,6,83.88,86.91,8,3,Monthly,Basic,Debit Card,0
18,19,87.92,84.64,11,1,Monthly,Standard,Credit Card,1
36,40,93.15,100.27,11,4,Monthly,Basic,Bank Transfer,0
19,59,77.36,199.18,1,0,Monthly,Premium,UPI,0
61,59,98.75,261.32,10,2,Yearly,Basic,Credit Card,1
43,48,139.44,227.97,5,5,Yearly,Premium,Credit Card,0
49,41,67.09,218.53,6,4,Two-Year,Basic,Bank Transfer,0
23,13,114.34,145.83,3,1,Monthly,Standard,UPI,1
49,45,136.28,208.45,5,3,Monthly,Basic,Bank Transfer,1
21,53,79.28,166.28,6,0,Monthly,Standard,Debit Card,0
28,42,77.65,65.66,3,2,Monthly,Premium,Debit Card,0
34,63,98.28,,7,5,Monthly,Standard,Credit Card,1
55,27,96.88,89.62,8,5,Yearly,Premium,UPI,1
41,38,124.86,273.33,0,4,Monthly,Premium,Debit Card,0
22,60,81.94,164.68,6,4,Yearly,Standard,Bank Transfer,1
69,7,149.5,220.44,8,0,Monthly,Standard,Debit Card,1
51,5,27.73,104.62,11,3,Two-Year,Basic,Debit Card,0
23,45,20.41,122.91,9,1,Yearly,Basic,Bank Transfer,0
39,58,103.23,38.54,4,3,Two-Year,Standard,Credit Card,0
28,31,58.8,52.22,11,3,Two-Year,Standard,UPI,0
65,23,51.25,248.38,1,3,Two-Year,Standard,Credit Card,0
33,42,60.55,175.87,9,0,Two-Year,Standard,Bank Transfer,1
50,10,53.29,101.92,5,0,Yearly,Premium,Debit Card,0
26,32,24.0,241.05,11,1,Monthly,Standard,UPI,0
23,53,146.3,74.71,11,3,Monthly,Standard,Credit Card,1
33,30,48.7,,6,0,Monthly,Standard,Bank Transfer,0
46,39,115.42,104.1,1,1,Yearly,Standard,Debit Card,0
20,31,119.14,101.86,1,5,Monthly,Premium,Debit Card,0
37,2,140.8,94.26,9,1,Two-Year,Basic,Credit Card,0
53,12,23.97,37.51,11,3,Two-Year,Basic,Bank Transfer,1
36,39,133.37,34.23,9,2,Monthly,Basic,Debit Card,0
43,66,88.54,194.78,0,3,Monthly,Basic,Debit Card,1
20,13,102.23,262.66,3,2,Two-Year,Basic,UPI,0
36,46,103.78,237.37,6,1,Monthly,Premium,Debit Card,1
37,27,126.57,43.19,8,5,Yearly,Basic,Credit Card,1
49,17,63.34,164.13,2,5,Monthly,Premium,Bank Transfer,1
24,60,115.3,32.57,11,0,Yearly,Premium,Bank Transfer,1
69,64,88.72,,10,5,Monthly,Basic,UPI,0
58,35,123.14,197.26,6,4,Two-Year,Basic,Bank Transfer,1
50,70,148.77,161.01,6,1,Yearly,Basic,Credit Card,1
57,30,46.08,25.53,6,0,Monthly,Standard,Debit Card,1
56,71,149.3,11.45,1,5,Monthly,Premium,,1
35,63,31.68,296.94,5,1,Monthly,Basic,Bank Transfer,0
57,28,20.3,9.98,1,3,Two-Year,Standard,,0
18,60,25.74,133.91,5,5,Yearly,Premium,UPI,1
28,37,64.43,151.88,9,2,Monthly,Standard,Bank Transfer,0
45,22,102.28,36.07,2,1,Monthly,Standard,UPI,1
42,68,28.97,51.55,1,0,Monthly,Basic,Bank Transfer,0
67,20,20.74,106.19,11,3,Yearly,Premium,Credit Card,0
40,68,141.82,228.74,5,4,Yearly,Standard,Bank Transfer,0
48,64,126.85,152.62,1,3,Monthly,Premium,Debit Card,0
47,17,125.19,,4,5,Yearly,Basic,Bank Transfer,0
59,12,134.98,295.57,1,2,Yearly,Premium,Debit Card,0
52,22,111.0,230.63,2,3,Two-Year,Standard,UPI,0
24,17,33.57,130.87,2,4,Two-Year,Standard,Bank Transfer,1
33,10,71.88,134.49,5,0,Yearly,Premium,Debit Card,1
43,65,114.01,186.01,5,1,Yearly,Standard,Bank Transfer,0
65,22,56.44,199.94,9,2,Monthly,Standard,Bank Transfer,0
69,50,109.36,150.71,2,4,Yearly,Standard,Bank Transfer,1
66,14,23.18,,2,5,Monthly,Basic,Credit Card,1
19,64,59.8,,11,5,Monthly,Basic,Debit Card,1
18,47,91.39,129.46,0,5,Monthly,Standard,Credit Card,1
65,29,102.17,84.4,6,2,Yearly,Premium,Credit Card,0
29,36,95.02,39.62,7,3,Monthly,Basic,Debit Card,0
22,52,110.71,30.76,1,2,Monthly,Premium,Bank Transfer,0
54,7,20.79,181.35,3,5,Monthly,Standard,Credit Card,0
49,29,33.12,157.56,9,4,Monthly,Standard,Credit Card,1
26,11,132.96,76.82,6,1,Monthly,Premium,Credit Card,1
58,33,108.63,141.81,7,1,Yearly,Basic,Bank Transfer,1
52,6,34.68,148.18,0,2,Yearly,Premium,Credit Card,0
36,32,129.47,59.31,3,5,Monthly,Premium,UPI,1
65,51,51.49,195.98,5,0,Two-Year,Standard,Debit Card,1
33,58,82.17,234.49,2,2,Yearly,Basic,UPI,0
20,26,38.88,237.65,4,5,Monthly,Premium,Bank Transfer,1
37,46,112.31,181.14,9,3,Yearly,Basic,Credit Card,1
41,29,106.69,153.98,8,1,Two-Year,Standard,Debit Card,1
50,4,,19.24,10,1,Monthly,Basic,Credit Card,1
41,13,132.24,,2,1,Monthly,Standard,Bank Transfer,1
69,39,72.17,28.89,4,0,Two-Year,Basic,Debit Card,1
28,15,58.03,289.18,7,5,Yearly,Premium,UPI,0
66,29,39.8,41.39,5,5,Monthly,Standard,Debit Card,0
25,29,54.6,46.38,3,5,Yearly,Premium,Credit Card,1
53,32,22.86,266.98,7,5,Monthly,Standard,Debit Card,0
55,2,95.82,283.23,10,0,Two-Year,Basic,Bank Transfer,1
57,47,129.49,229.98,2,4,Monthly,Basic,Bank Transfer,1
37,22,91.37,2.62,2,2,Monthly,Standard,Debit Card,1
52,27,48.51,1.4,3,2,Yearly,Standard,Bank Transfer,0
65,67,24.38,114.05,8,5,Monthly,Standard,Bank Transfer,0
42,56,47.9,43.88,4,3,Monthly,Basic,Bank Transfer,0
52,21,74.1,6.5,7,1,Yearly,Standard,UPI,0
42,47,118.75,139.76,5,0,Yearly,Standard,Credit Card,0
46,59,44.42,282.98,2,3,Monthly,Premium,Bank Transfer,0
35,6,113.57,97.82,7,3,Yearly,Standard,Debit Card,0
63,19,132.7,198.68,11,5,Monthly,Premium,Bank Transfer,1
35,57,79.01,196.02,8,0,Monthly,Premium,UPI,1
19,69,126.79,76.07,7,2,Monthly,Premium,Debit Card,0
52,3,92.11,195.48,3,1,Monthly,Basic,Credit Card,0
33,1,102.82,64.49,10,2,Yearly,Premium,Debit Card,1
58,58,88.42,37.48,5,3,Monthly,Standard,Debit Card,1
53,38,80.21,210.71,0,1,Yearly,Basic,Debit Card,0
50,15,50.5,34.92,3,4,Monthly,Basic,Debit Card,1
21,34,59.42,299.08,7,3,Two-Year,Basic,Bank Transfer,1
50,61,57.7,55.85,0,2,Yearly,Basic,Credit Card,0
31,35,93.23,178.65,2,2,Yearly,Basic,Bank Transfer,0
38,64,35.59,124.0,0,5,Monthly,Basic,UPI,0
65,25,139.18,38.79,8,2,Monthly,Basic,UPI,0
37,24,113.69,9.33,1,0,Monthly,Premium,Debit Card,0
25,12,72.19,187.2,8,3,Two-Year,Standard,Bank Transfer,1
24,18,40.62,242.22,3,1,Monthly,Standard,Bank Transfer,1
20,15,134.66,252.76,1,2,Yearly,Premium,Credit Card,0
34,27,127.09,145.33,3,5,Yearly,Premium,Credit Card,0
50,72,113.82,233.46,11,5,Monthly,Basic,Credit Card,1
65,60,55.3,202.18,10,2,Yearly,Basic,Bank Transfer,0
29,46,72.32,217.55,10,0,Yearly,Premium,Credit Card,0
68,17,33.36,148.29,9,5,Yearly,Basic,Credit Card,1
39,53,44.58,190.39,5,1,Monthly,Standard,Credit Card,1
39,8,121.79,241.85,10,3,Monthly,Standard,Debit Card,1
63,27,112.96,119.97,6,4,Monthly,Basic,UPI,0
47,46,97.15,241.99,2,0,Yearly,Basic,UPI,0
55,50,136.44,178.01,2,5,Yearly,Basic,Bank Transfer,1
55,71,95.82,50.6,11,3,Monthly,Standard,Bank Transfer,0
62,3,80.71,8.38,9,4,Two-Year,Basic,,0
68,64,64.25,109.46,11,2,Monthly,Premium,UPI,0
25,44,142.26,164.46,7,2,Two-Year,Basic,Credit Card,0
44,53,30.75,252.11,4,1,Two-Year,Premium,Credit Card,0
44,24,141.02,39.12,3,4,Two-Year,Basic,Bank Transfer,1
51,60,127.47,240.26,6,2,Yearly,Basic,UPI,1
38,3,36.89,259.04,6,2,Monthly,Standard,Bank Transfer,0
47,20,93.45,46.06,8,5,Monthly,Premium,Bank Transfer,1
50,46,132.65,255.63,8,1,Yearly,Premium,Credit Card,0
45,15,94.34,297.44,4,3,Monthly,Premium,Credit Card,0
64,25,137.94,218.32,11,2,Monthly,Standard,UPI,1
50,71,142.59,235.65,7,0,Yearly,Premium,Bank Transfer,1
22,17,74.91,298.33,9,0,Monthly,Standard,Debit Card,0
65,9,69.05,182.04,0,3,Two-Year,Basic,UPI,0
36,38,141.72,93.06,8,4,Yearly,Basic,Bank Transfer,1
21,48,107.77,251.42,7,1,Yearly,Premium,UPI,0
52,60,35.08,184.73,5,5,Yearly,Basic,UPI,1
66,63,25.5,174.78,2,0,Two-Year,Basic,UPI,1
34,2,93.4,76.84,2,0,Yearly,Premium,Debit Card,1
61,72,140.92,227.14,7,3,Yearly,Basic,Debit Card,1
45,11,129.75,25.42,4,4,Monthly,Premium,Credit Card,0
47,64,107.86,,9,4,Two-Year,Premium,Credit Card,0
46,72,38.09,98.42,10,3,Yearly,Basic,Bank Transfer,1
63,21,53.05,39.2,6,0,Monthly,Basic,UPI,1
23,18,133.82,133.27,4,1,Monthly,Basic,Bank Transfer,1
52,64,43.76,13.7,7,0,Yearly,Basic,Credit Card,0
58,38,56.2,205.7,9,4,Monthly,Basic,Debit Card,1
54,32,36.85,270.91,9,5,Two-Year,Standard,Credit Card,0
41,11,107.89,251.34,3,0,Two-Year,Basic,Bank Transfer,0
46,45,142.72,39.08,1,1,Monthly,Standard,Credit Card,1
66,33,54.97,38.76,2,2,Yearly,Premium,Bank Transfer,0
63,41,81.8,244.22,7,0,Monthly,Basic,Bank Transfer,1
48,8,102.46,,10,3,Yearly,Basic,Bank Transfer,1
52,11,149.93,138.74,6,2,Monthly,Basic,Bank Transfer,1
50,51,33.63,150.19,1,3,Yearly,Premium,Credit Card,0
69,41,84.81,96.16,5,3,Monthly,Standard,Bank Transfer,1
38,17,70.07,268.39,8,3,Monthly,Standard,Bank Transfer,1
49,46,132.56,193.83,3,0,Monthly,Basic,UPI,0
40,32,81.88,87.19,8,4,Monthly,Basic,Bank Transfer,1
50,54,34.43,90.34,1,2,Yearly,Basic,Credit Card,0
20,20,102.48,267.47,1,1,Monthly,Basic,Bank Transfer,0
35,33,120.2,5.08,8,4,Monthly,Premium,Debit Card,1
42,40,20.37,97.5,11,0,Two-Year,Basic,Debit Card,1
59,32,131.66,166.75,6,3,Yearly,Premium,Bank Transfer,1
48,2,44.18,45.32,6,1,Two-Year,Basic,Debit Card,0
20,33,91.77,28.54,0,2,Two-Year,Standard,Debit Card,0
57,30,74.05,244.77,10,4,Monthly,Standard,Credit Card,1
63,33,113.55,268.43,5,5,Monthly,Basic,UPI,1
41,26,68.25,247.26,6,4,Yearly,Basic,Debit Card,1
67,22,133.07,269.74,10,1,Two-Year,Premium,Debit Card,1
49,66,114.96,166.38,5,0,Two-Year,Basic,UPI,0
64,38,104.2,243.87,5,2,Monthly,Basic,UPI,0
39,46,123.51,115.83,1,1,Monthly,Basic,Debit Card,1
40,15,118.02,200.21,5,3,Monthly,Standard,Bank Transfer,1
19,44,24.67,296.66,3,2,Yearly,Premium,Debit Card,1
44,49,71.32,68.49,8,4,Yearly,Standard,Bank Transfer,1
59,61,141.0,117.58,11,1,Monthly,Premium,Bank Transfer,0
19,67,36.34,144.53,0,4,Monthly,Standard,Bank Transfer,0
43,6,115.82,42.27,7,4,Yearly,Basic,UPI,1
34,9,146.7,25.23,4,4,Yearly,Standard,Debit Card,1
57,6,26.79,249.09,0,0,Monthly,Standard,Debit Card,0
50,32,108.69,293.06,3,4,Two-Year,Premium,Credit Card,0
26,41,80.86,122.01,0,3,Yearly,Premium,UPI,0
60,8,95.29,27.21,5,3,Yearly,Standard,Credit Card,1
65,72,31.09,20.68,1,2,Yearly,Premium,Credit Card,0
